Rectangle: (0,0):(30,30)
Rectangle: (10,0):(20,10)
Rectangle: (70,40):(100,70)
Rectangle: (11.25,5):(13.75,7.5)
Rectangle: (43.75,35):(51.25,42.5)
Rectangle: (76.25,65):(88.75,77.5)
Rectangle: (15,0):(17.5,6.25)
Rectangle: (55,75):(62.5,93.75)
Rectangle: (95,150):(107.5,181.25)
Rectangle: (135,225):(152.5,268.75)
Polygon: 3 (10,10) (20,10) (15,15)
Polygon: 3 (70,110) (100,110) (85,125)
Polygon: 3 (130,210) (180,210) (155,235)
Polygon: 3 (190,310) (260,310) (225,345)
Polygon: 3 (250,410) (340,410) (295,455)
Polygon: 4 (17.5,12.5) (17.5,15) (18.5,15) (18.5,11.75)
Polygon: 4 (56.5,102.5) (56.5,110) (59.5,110) (59.5,100.25)
Polygon: 4 (95.5,192.5) (95.5,205) (100.5,205) (100.5,188.75)
Polygon: 4 (134.5,282.5) (134.5,300) (141.5,300) (141.5,277.25)
Polygon: 4 (173.5,372.5) (173.5,395) (182.5,395) (182.5,365.75)
Polygon: 4 (212.5,462.5) (212.5,490) (223.5,490) (223.5,454.25)
Polygon: 4 (11.25,5) (11.25,6.25) (12.5,6.25) (12.5,5)
Polygon: 4 (38.75,45) (38.75,48.75) (42.5,48.75) (42.5,45)
Polygon: 4 (66.25,85) (66.25,91.25) (72.5,91.25) (72.5,85)
Polygon: 4 (93.75,125) (93.75,133.75) (102.5,133.75) (102.5,125)
Polygon: 4 (121.25,165) (121.25,176.25) (132.5,176.25) (132.5,165)
Polygon: 4 (148.75,205) (148.75,218.75) (162.5,218.75) (162.5,205)
Polygon: 4 (176.25,245) (176.25,261.25) (192.5,261.25) (192.5,245)
Rectangle: (12.5,5):(13.75,6.25)
Rectangle: (42.5,50):(46.25,53.75)
Rectangle: (72.5,95):(78.75,101.25)
Rectangle: (102.5,140):(111.25,148.75)
Rectangle: (132.5,185):(143.75,196.25)
Rectangle: (162.5,230):(176.25,243.75)
Rectangle: (192.5,275):(208.75,291.25)
Rectangle: (222.5,320):(241.25,338.75)
Rectangle: (11.25,6.25):(12.5,7.5)
Rectangle: (38.75,58.75):(42.5,62.5)
Rectangle: (66.25,111.25):(72.5,117.5)
Rectangle: (93.75,163.75):(102.5,172.5)
Rectangle: (121.25,216.25):(132.5,227.5)
Rectangle: (148.75,268.75):(162.5,282.5)
Rectangle: (176.25,321.25):(192.5,337.5)
Rectangle: (203.75,373.75):(222.5,392.5)
Rectangle: (231.25,426.25):(252.5,447.5)
Rectangle: (12.5,6.25):(13.75,7.5)
Rectangle: (42.5,63.75):(46.25,67.5)
Rectangle: (72.5,121.25):(78.75,127.5)
Rectangle: (102.5,178.75):(111.25,187.5)
Rectangle: (132.5,236.25):(143.75,247.5)
Rectangle: (162.5,293.75):(176.25,307.5)
Rectangle: (192.5,351.25):(208.75,367.5)
Rectangle: (222.5,408.75):(241.25,427.5)
Rectangle: (252.5,466.25):(273.75,487.5)
Rectangle: (282.5,523.75):(306.25,547.5)
Composite: 5 {Line: (65561.8,1.89589e+07):(65561.8,1.90245e+07) Line: (32780.9,1.89917e+07):(98342.7,1.89917e+07) Line: (39337.1,1.89687e+07):(88508.5,1.90179e+07) Line: (39337.1,1.90179e+07):(88508.5,1.89687e+07) Circle: (65561.8,1.89917e+07) 16390.5}
Composite: 5 {Line: (65561.8,1.89589e+07):(65561.8,1.90245e+07) Line: (32780.9,1.89917e+07):(98342.7,1.89917e+07) Line: (39337.1,1.89687e+07):(88508.5,1.90179e+07) Line: (39337.1,1.90179e+07):(88508.5,1.89687e+07) Circle: (65561.8,1.89917e+07) 16390.5}
Composite: 5 {Line: (65561.8,1.89589e+07):(65561.8,1.90245e+07) Line: (32780.9,1.89917e+07):(98342.7,1.89917e+07) Line: (39337.1,1.89687e+07):(88508.5,1.90179e+07) Line: (39337.1,1.90179e+07):(88508.5,1.89687e+07) Circle: (65561.8,1.89917e+07) 16390.5}
